"playerID","yearID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","BB","HBP","SF","PA","AVG","OBP","TB","SLG","OPS","avg_percentile","obp_percentile","slg_percentile","ops_percentile","h_percentile","hr_percentile","rbi_percentile","r_percentile","sb_percentile","decade"
"braunry02",2011,"NL",150,563,109,187,38,6,33,111,33,58,5,3,629,0.33214920071048,0.397456279809221,336,0.596802841918295,0.994259121727516,0.991902834008097,0.979757085020243,0.995951417004049,1,0.983805668016194,0.977732793522267,0.987854251012146,0.995951417004049,0.975708502024291,2010
"brettge01",1980,"AL",117,449,87,175,33,9,24,118,15,58,1,7,515,0.389755011135857,0.454368932038835,298,0.66369710467706,1.11806603671589,1,1,1,1,0.931279620853081,0.954976303317536,0.992890995260663,0.919431279620853,0.886255924170616,1980
"bryankr01",2016,"NL",155,603,121,176,35,3,39,102,8,75,18,3,699,0.291873963515755,0.38483547925608,334,0.553897180762852,0.938732660018933,0.869767441860465,0.944186046511628,0.976744186046512,0.986046511627907,0.958139534883721,0.990697674418605,0.976744186046512,1,0.772093023255814,2010
"burnsge02",1926,"AL",151,603,97,216,64,3,4,114,13,28,8,0,639,0.358208955223881,0.394366197183099,298,0.494195688225539,0.888561885408638,0.96078431372549,0.794117647058823,0.901960784313726,0.882352941176471,0.995098039215686,0.651960784313726,0.985294117647059,0.92156862745098,0.897058823529412,1920
"burroje01",1974,"AL",152,554,84,167,33,2,25,118,2,91,5,12,662,0.3014440433213,0.397280966767372,279,0.503610108303249,0.900891075070621,0.949152542372881,0.983050847457627,0.971751412429379,0.977401129943503,0.963276836158192,0.980225988700565,1,0.96045197740113,0.42090395480226,1970
"cabremi01",2012,"AL",161,622,109,205,40,0,44,139,4,66,3,6,697,0.329581993569132,0.393113342898135,377,0.606109324758842,0.999222667656977,1,0.977168949771689,0.995433789954338,0.995433789954338,0.995433789954338,1,1,0.995433789954338,0.582191780821918,2010
"cabremi01",2013,"AL",148,555,103,193,26,1,44,137,3,90,5,2,652,0.347747747747748,0.441717791411043,353,0.636036036036036,1.07775382744708,1,1,1,1,0.993392070484581,0.995594713656388,0.995594713656388,0.993392070484581,0.544052863436123,2010
"camildo01",1941,"NL",149,529,92,151,29,6,34,120,3,104,4,0,637,0.285444234404537,0.406593406593407,294,0.555765595463138,0.962359002056545,0.715686274509804,0.970588235294118,0.990196078431373,0.990196078431373,0.882352941176471,1,1,0.950980392156863,0.558823529411765,1940
"caminke01",1996,"NL",146,546,109,178,37,2,40,130,11,78,4,10,638,0.326007326007326,0.407523510971787,339,0.620879120879121,1.02840263185091,0.966824644549763,0.95260663507109,0.990521327014218,0.985781990521327,0.914691943127962,0.9739336492891,0.990521327014218,0.933649289099526,0.744075829383886,1990
"camparo01",1951,"NL",143,505,90,164,33,1,33,108,1,53,4,0,562,0.324752475247525,0.393238434163701,298,0.59009900990099,0.983337444064691,0.972972972972973,0.927927927927928,0.981981981981982,0.981981981981982,0.896396396396396,0.981981981981982,0.968468468468468,0.882882882882883,0.369369369369369,1950
"camparo01",1953,"NL",144,519,103,162,26,3,41,142,4,67,4,0,590,0.312138728323699,0.394915254237288,317,0.610789980732177,1.00570523496947,0.912621359223301,0.902912621359223,0.980582524271845,0.970873786407767,0.79126213592233,0.980582524271845,1,0.902912621359223,0.796116504854369,1950
"camparo01",1955,"NL",123,446,81,142,20,1,32,107,2,56,6,9,517,0.318385650224215,0.39458413926499,260,0.582959641255605,0.977543780520596,0.962962962962963,0.944444444444444,0.944444444444444,0.962962962962963,0.777777777777778,0.935185185185185,0.935185185185185,0.824074074074074,0.546296296296296,1950
"cansejo01",1988,"AL",158,610,120,187,34,0,42,124,40,78,10,6,704,0.30655737704918,0.390625,347,0.568852459016393,0.959477459016393,0.945,0.96,1,0.995,0.975,1,1,0.995,0.985,1980
